review,insight,insight_encoded,predicted_insights,decoded_insight,decoded_predicted_insights
[REDACTED] in Bar Hill in Cambridgeshire. Went to Bar Hill in Cambridgeshire. Guys were respectful and took care of my wheels and my car. Had issues with wheel nuts that had been massively over tightened by BMW but helped me get these undone.Have used them before and will continue to use them. A credit to [REDACTED].Many thanks,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Great as usual. All the family use [REDACTED]. Must be the easiest and cheapest way of reshoeing your vehicle.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Easy to choose the tyres i wanted and where to have them fitted,when i arrived to have them fitted the company were very efficient.","['length of fitting positive', 'garage service positive']","6, 5","(6,)","['length of fitting positive', 'garage service positive']",['length of fitting positive']
GOOD SERVICE FROM ORDERING TO FITTING,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Easy to use and great prices,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Great Value. Easy to use. Great prices and fitted locally.,"['value for money positive', 'location positive']","9, 7","(7, 9)","['value for money positive', 'location positive']","['location positive', 'value for money positive']"
Best price for my tyres easy and straightforward transaction was a pleasure to deal with,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Easy peasy and great choice. Ordered tyres on here for our kuga. Prices were good and the garage selection easy to do. Arrived at the garage early and they fitted the tyres after asking me to confirm everything. Made sure I was happy before leaving too. Excellent service all round and will use again!,"['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
Very good value and service. Happy with the tyres.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Price very good. Easy to arrange.,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
"A good service, with reasonable prices",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
great service and price. will definitely use again.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"You cant beat [REDACTED]. I've always used [REDACTED] for my tyres as they always have the best and cheapest deals on tyres as well as a vast choice of garages to choose from for fitting. I chose Savoy Garage in Sheffield for fitting and they were excellent, helpful and friendly guys and provided an excellent service. I highly recommend [REDACTED] and Savoy Garage, Sheffield.","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
Great service great price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
